Time,Category,Message,Status,Flag,Scope,Sector,Lap,Year,RoundNumber
2023-09-17 12:41:01,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,22,2023,15
2023-09-17 13:18:06,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,44,2023,15
2023-09-17 13:21:29,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,45,2023,15
2023-09-24 05:05:18,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2023,16
2023-09-24 05:11:45,Other,INCIDENT INVOLVING CAR 11 (PER) NOTED - SAFETY CAR INFRINGEMENT,,,,,4,2023,16
2023-09-24 05:12:41,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,4,2023,16
2023-09-24 05:20:27,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 11 (PER) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,8,2023,16
2023-09-24 05:22:37,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 11 (PER) - SAFETY CAR INFRINGEMENT,,,,,9,2023,16
2023-09-24 05:29:34,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,14,2023,16
2023-09-24 05:30:36,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,14,2023,16
2023-10-08 17:04:43,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2023,17
2023-10-08 17:11:00,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,4,2023,17
2023-10-29 20:09:05,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,5,2023,19
2023-10-29 20:10:21,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,5,2023,19
2023-10-29 20:49:24,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,33,2023,19
2023-10-29 21:11:47,Other,ALL CARS MAY OVERTAKE THE SAFETY CAR,,,,,35,2023,19
2023-10-29 21:12:46,Other,ALL CARS MAY OVERTAKE THE SAFETY CAR,,,,,35,2023,19
2023-11-05 17:03:50,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2023,20
2023-11-05 17:04:04,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,1,2023,20
2023-11-05 17:30:46,Other,ALL CARS MAY OVERTAKE THE SAFETY CAR,,,,,3,2023,20
2023-11-19 06:05:49,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2023,21
2023-11-19 06:07:46,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,2,2023,21
2023-11-19 06:09:27,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,3,2023,21
2023-11-19 06:16:28,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,6,2023,21
2023-11-19 06:51:24,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,26,2023,21
2023-11-19 06:56:17,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,28,2023,21
