Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,RoundNumber
0 days 01:22:02.937000,GAS,10,0 days 00:02:04.565000,13.0,2.0,0 days 01:20:26.625000,,0 days 00:00:57.710000,0 days 00:00:42.728000,0 days 00:00:24.127000,0 days 01:20:56.093000,0 days 01:21:38.821000,0 days 01:22:02.948000,228.0,252.0,275.0,215.0,False,HARD,1.0,True,Alpine,0 days 01:19:58.372000,,1,18.0,,,False,False,2024,1
0 days 01:51:30.743000,GAS,10,0 days 00:01:40.432000,31.0,2.0,,0 days 01:51:29.011000,0 days 00:00:31.182000,0 days 00:00:42.455000,0 days 00:00:26.795000,0 days 01:50:21.504000,0 days 01:51:03.959000,0 days 01:51:30.754000,231.0,254.0,,308.0,False,HARD,19.0,True,Alpine,0 days 01:49:50.311000,,1,16.0,,,False,False,2024,1
0 days 01:53:30.513000,GAS,10,0 days 00:01:59.770000,32.0,3.0,0 days 01:51:55.547000,,0 days 00:00:53.980000,0 days 00:00:41.978000,0 days 00:00:23.812000,0 days 01:52:24.734000,0 days 01:53:06.712000,0 days 01:53:30.524000,232.0,251.0,276.0,219.0,False,HARD,1.0,True,Alpine,0 days 01:51:30.743000,,1,18.0,,,False,False,2024,1
0 days 02:11:15.213000,GAS,10,0 days 00:01:39.291000,43.0,3.0,,0 days 02:11:13.617000,0 days 00:00:31.165000,0 days 00:00:41.852000,0 days 00:00:26.274000,0 days 02:10:07.098000,0 days 02:10:48.950000,0 days 02:11:15.224000,232.0,256.0,,292.0,False,HARD,12.0,True,Alpine,0 days 02:09:35.922000,,1,17.0,,,False,False,2024,1
0 days 02:13:11.694000,GAS,10,0 days 00:01:56.481000,44.0,4.0,0 days 02:11:38.724000,,0 days 00:00:51.887000,0 days 00:00:41.099000,0 days 00:00:23.495000,0 days 02:12:07.111000,0 days 02:12:48.210000,0 days 02:13:11.705000,233.0,254.0,278.0,221.0,False,SOFT,1.0,True,Alpine,0 days 02:11:15.213000,,1,18.0,,,False,False,2024,1
0 days 01:20:02.264000,BOT,77,0 days 00:01:43.145000,12.0,1.0,,0 days 01:20:00.495000,0 days 00:00:31.822000,0 days 00:00:43.874000,0 days 00:00:27.449000,0 days 01:18:50.957000,0 days 01:19:34.831000,0 days 01:20:02.280000,234.0,250.0,,303.0,False,SOFT,12.0,True,Kick Sauber,0 days 01:18:19.119000,,1,14.0,,,False,False,2024,1
0 days 01:22:03.345000,BOT,77,0 days 00:02:01.081000,13.0,2.0,0 days 01:20:27.061000,,0 days 00:00:54.410000,0 days 00:00:42.543000,0 days 00:00:24.128000,0 days 01:20:56.690000,0 days 01:21:39.233000,0 days 01:22:03.361000,231.0,256.0,287.0,215.0,False,HARD,1.0,True,Kick Sauber,0 days 01:20:02.264000,,1,19.0,,,False,False,2024,1
0 days 01:49:51.985000,BOT,77,0 days 00:01:41.252000,30.0,2.0,,0 days 01:49:50.207000,0 days 00:00:31.469000,0 days 00:00:42.763000,0 days 00:00:27.020000,0 days 01:48:42.218000,0 days 01:49:24.981000,0 days 01:49:52.001000,233.0,254.0,,300.0,False,HARD,18.0,True,Kick Sauber,0 days 01:48:10.733000,,1,16.0,,,False,False,2024,1
0 days 01:52:42.259000,BOT,77,,31.0,3.0,0 days 01:51:05.158000,,,0 days 00:00:42.630000,0 days 00:00:23.793000,,0 days 01:52:18.626000,0 days 01:52:42.493000,231.0,252.0,280.0,186.0,False,HARD,1.0,True,Kick Sauber,0 days 01:49:51.985000,,1,19.0,,,False,False,2024,1
0 days 01:17:39.304000,SAR,2,,10.0,1.0,,0 days 01:17:37.577000,0 days 00:01:23.300000,0 days 00:00:46.732000,0 days 00:00:31.828000,0 days 01:16:20.849000,0 days 01:17:07.500000,0 days 01:17:39.505000,208.0,195.0,,293.0,False,SOFT,10.0,True,Williams,0 days 01:14:57.453000,,12,20.0,,,False,False,2024,1
0 days 01:19:51.742000,SAR,2,0 days 00:02:12.438000,11.0,2.0,0 days 01:18:13.302000,,0 days 00:01:04.866000,0 days 00:00:42.959000,0 days 00:00:24.613000,0 days 01:18:44.194000,0 days 01:19:27.153000,0 days 01:19:51.766000,225.0,253.0,244.0,203.0,False,HARD,1.0,True,Williams,0 days 01:17:39.304000,,1,20.0,,,False,False,2024,1
0 days 01:47:53.625000,SAR,2,0 days 00:01:40.535000,28.0,2.0,,0 days 01:47:51.937000,0 days 00:00:31.128000,0 days 00:00:42.603000,0 days 00:00:26.804000,0 days 01:46:44.242000,0 days 01:47:26.845000,0 days 01:47:53.649000,231.0,259.0,,295.0,False,HARD,18.0,True,Williams,0 days 01:46:13.090000,,1,20.0,,,False,False,2024,1
