Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Year,RoundNumber
2018-04-08 15:57:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,27,2018,2
2018-04-08 15:57:28,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,27,2018,2
2018-04-08 15:57:35,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,27,2018,2
2018-04-08 15:57:37,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,27,2018,2
2018-04-08 16:02:07,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 19:02:07,,BLUE,Driver,,35,30,2018,2
2018-04-08 16:03:21,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 19:03:20,,BLUE,Driver,,18,31,2018,2
2018-04-08 16:04:25,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 19:04:25,,BLUE,Driver,,35,32,2018,2
2018-04-08 16:08:37,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 19:08:37,,BLUE,Driver,,55,34,2018,2
2018-04-08 16:09:00,Flag,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 19:09:00,,BLUE,Driver,,16,34,2018,2
2018-04-08 16:09:13,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 19:09:13,,BLUE,Driver,,55,35,2018,2
2018-04-08 16:10:17,Flag,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 19:10:16,,BLUE,Driver,,16,35,2018,2
2018-04-08 16:11:25,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 19:11:24,,BLUE,Driver,,8,36,2018,2
2018-04-08 16:13:44,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 19:13:44,,BLUE,Driver,,35,37,2018,2
2018-04-08 16:16:12,Other,INCIDENT INVOLVING CAR 7 (RAI) WILL BE INVESTIGATED AFTER THE RACE - UNSAFE RELEASE,,,,,,39,2018,2
2018-04-08 16:17:12,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 19:17:11,,BLUE,Driver,,55,40,2018,2
2018-04-08 16:17:56,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 19:17:56,,BLUE,Driver,,2,40,2018,2
2018-04-08 16:18:30,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,40,2018,2
2018-04-08 16:18:31,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,40,2018,2
2018-04-08 16:18:32,Drs,DRS DISABLED,DISABLED,,,,,40,2018,2
2018-04-08 16:18:34,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,40,2018,2
2018-04-08 16:18:41,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,41,2018,2
2018-04-08 16:18:42,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 19:18:41,,BLUE,Driver,,28,41,2018,2
2018-04-08 16:18:42,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,41,2018,2
2018-04-08 16:18:43,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,41,2018,2
2018-04-08 16:18:43,Drs,DRS ENABLED,ENABLED,,,,,41,2018,2
2018-04-08 16:22:01,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 19:22:00,,BLUE,Driver,,8,43,2018,2
2018-04-08 16:22:40,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 19:22:39,,BLUE,Driver,,28,43,2018,2
2018-04-08 16:25:39,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 19:25:38,,BLUE,Driver,,9,45,2018,2
2018-04-08 16:26:45,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 19:26:44,,BLUE,Driver,,11,46,2018,2
2018-04-08 16:27:48,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 19:27:47,,BLUE,Driver,,8,46,2018,2
2018-04-08 16:29:37,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 19:29:36,,BLUE,Driver,,2,47,2018,2
2018-04-08 16:31:27,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 19:31:26,,BLUE,Driver,,9,49,2018,2
2018-04-08 16:31:28,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 19:31:27,,BLUE,Driver,,31,49,2018,2
2018-04-08 16:33:12,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 19:33:12,,BLUE,Driver,,55,50,2018,2
2018-04-08 16:39:14,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 19:39:14,,BLUE,Driver,,9,54,2018,2
2018-04-08 16:41:09,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 19:41:08,,BLUE,Driver,,2,55,2018,2
2018-04-08 16:45:24,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 19:45:23,,BLUE,Driver,,14,57,2018,2
2018-04-08 16:45:37,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,57,2018,2
2018-04-15 06:07:03,Drs,DRS DISABLED,DISABLED,,,,,1,2018,3
2018-04-15 06:13:36,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1,2018,3
2018-04-15 06:17:07,Drs,DRS ENABLED,ENABLED,,,,,3,2018,3
2018-04-15 07:02:49,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,30,2018,3
2018-04-15 07:02:49,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,30,2018,3
2018-04-15 07:02:49,Flag,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 15:02:49,,BLUE,Driver,,16,30,2018,3
2018-04-15 07:02:50,Drs,DRS DISABLED,DISABLED,,,,,30,2018,3
2018-04-15 07:02:55,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,30,2018,3
2018-04-15 07:02:55,Drs,DRS ENABLED,ENABLED,,,,,30,2018,3
2018-04-15 07:02:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,30,2018,3
2018-04-15 07:02:57,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,30,2018,3
2018-04-15 07:02:57,Drs,DRS DISABLED,DISABLED,,,,,30,2018,3
2018-04-15 07:03:02,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,30,2018,3
2018-04-15 07:03:02,Drs,DRS ENABLED,ENABLED,,,,,30,2018,3
2018-04-15 07:03:04,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 17,,,,,,30,2018,3
2018-04-15 07:03:29,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 15:03:28,,BLUE,Driver,,9,31,2018,3
2018-04-15 07:03:54,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 15:03:54,,BLUE,Driver,,28,31,2018,3
2018-04-15 07:04:21,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 15:04:21,,BLUE,Driver,,9,31,2018,3
2018-04-15 07:04:50,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,31,2018,3
2018-04-15 07:04:51,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,31,2018,3
2018-04-15 07:05:42,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,32,2018,3
2018-04-15 07:06:19,Other,TURN 14 INCIDENT INVOLVING CARS 10 (GAS) AND 28 (HAR) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,32,2018,3
2018-04-15 07:10:30,Other,"LAPPED CARS MAY NOW OVERTAKE - 9, 16, 28",,,,,,34,2018,3
2018-04-15 07:11:26,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,34,2018,3
2018-04-15 07:13:07,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,35,2018,3
2018-04-15 07:14:59,Flag,TRACK CLEAR,,CLEAR,Track,,,35,2018,3
2018-04-15 07:15:46,Other,10 SECOND TIME PENALTY FOR CAR 10 (GAS) - CAUSING A COLLISION,,,,,,36,2018,3
2018-04-15 07:19:11,Drs,DRS ENABLED,ENABLED,,,,,38,2018,3
2018-04-15 07:28:07,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,43,2018,3
2018-04-15 07:28:08,Drs,DRS DISABLED,DISABLED,,,,,43,2018,3
2018-04-15 07:28:15,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,43,2018,3
2018-04-15 07:28:15,Drs,DRS ENABLED,ENABLED,,,,,43,2018,3
2018-04-15 07:29:39,Other,TURN 14 INCIDENT INVOLVING CARS 5 (VET) AND 33 (VER) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,44,2018,3
2018-04-15 07:32:21,Other,10 SECOND TIME PENALTY FOR CAR 33 (VER) - CAUSING A COLLISION,,,,,,46,2018,3
2018-04-15 07:48:32,Other,TURN 3 INCIDENT INVOLVING CARS 5 (VET) AND 14 (ALO) NOTED,,,,,,56,2018,3
2018-04-15 07:49:11,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,56,2018,3
2018-04-15 07:52:15,Other,TURN 3 INCIDENT INVOLVING CARS 5 (VET) AND 14 (ALO) - NO INVESTIGATION NECESSARY,,,,,,56,2018,3
2018-04-29 12:07:10,Drs,DRS DISABLED,DISABLED,,,,,1,2018,4
2018-04-29 12:13:42,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1,2018,4
2018-04-29 12:14:08,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,1,2018,4
2018-04-29 12:14:11,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,1,2018,4
2018-04-29 12:14:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,1,2018,4
2018-04-29 12:14:23,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,1,2018,4
2018-04-29 12:14:25,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,1,2018,4
2018-04-29 12:14:28,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,1,2018,4
2018-04-29 12:14:31,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1,2018,4
2018-04-29 12:18:27,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,2,2018,4
2018-04-29 12:19:42,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,3,2018,4
2018-04-29 12:19:47,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,3,2018,4
2018-04-29 12:25:20,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,5,2018,4
2018-04-29 12:26:55,Flag,TRACK CLEAR,,CLEAR,Track,,,5,2018,4
2018-04-29 12:30:58,Drs,DRS ENABLED,ENABLED,,,,,7,2018,4
2018-04-29 12:35:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,10,2018,4
2018-04-29 12:35:47,Drs,DRS DISABLED,DISABLED,,,,,10,2018,4
2018-04-29 12:35:57,Drs,DRS ENABLED,ENABLED,,,,,10,2018,4
2018-04-29 12:35:57,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,10,2018,4
2018-04-29 12:37:57,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,11,2018,4
2018-04-29 12:38:04,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,11,2018,4
2018-04-29 12:38:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,11,2018,4
2018-04-29 12:38:06,Drs,DRS DISABLED,DISABLED,,,,,11,2018,4
2018-04-29 12:38:07,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,11,2018,4
2018-04-29 12:38:11,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,11,2018,4
2018-04-29 12:38:11,Drs,DRS ENABLED,ENABLED,,,,,11,2018,4
2018-04-29 12:38:29,CarEvent,CAR 27 (HUL) STOPPED AT TURN 5,,,,,27,12,2018,4
2018-04-29 12:44:24,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,15,2018,4
2018-04-29 12:44:26,Drs,DRS DISABLED,DISABLED,,,,,15,2018,4
2018-04-29 12:44:27,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,15,2018,4
2018-04-29 12:45:19,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,15,2018,4
2018-04-29 12:45:21,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,15,2018,4
2018-04-29 12:45:21,Drs,DRS ENABLED,ENABLED,,,,,15,2018,4
2018-04-29 12:45:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,15,2018,4
2018-04-29 12:45:22,Drs,DRS DISABLED,DISABLED,,,,,15,2018,4
2018-04-29 12:45:24,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,15,2018,4
2018-04-29 12:45:24,Drs,DRS ENABLED,ENABLED,,,,,15,2018,4
2018-04-29 12:46:40,Other,FIRST LAP INCIDENTS AT TURNS 2 AND 3 ALL NOTED,,,,,,16,2018,4
2018-04-29 12:48:49,Other,DRS DETECTION AT D1 INACTIVE - MANUAL OPERATION PERMITTED,,,,,,17,2018,4
2018-04-29 12:50:34,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,18,2018,4
2018-04-29 12:50:35,Drs,DRS DISABLED,DISABLED,,,,,18,2018,4
2018-04-29 12:50:46,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,18,2018,4
2018-04-29 12:50:46,Drs,DRS ENABLED,ENABLED,,,,,18,2018,4
2018-04-29 12:51:13,Other,TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 7 (RAI) WILL BE INVESTIGATED AFTER THE RACE,,,,,,19,2018,4
2018-04-29 12:52:18,Other,"TURN 2 INCIDENT INVOLVING CARS 14 (ALO),27 (HUL)  AND 35 (SIR) NOTED - NO INVESTIGATION NECESSARY",,,,,,19,2018,4
2018-04-29 12:52:51,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 16:52:51,,BLUE,Driver,,9,20,2018,4
2018-04-29 12:53:17,Other,TURN 2 INCIDENT INVOLVING CARS 9 (ERI) AND 20 (MAG) UNDER INVESTIGATION,,,,,,20,2018,4
2018-04-29 12:53:57,Other,10 SECOND TIME PENALTY FOR CAR 9 (ERI) - CAUSING A COLLISION,,,,,,20,2018,4
2018-04-29 12:54:45,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,21,2018,4
2018-04-29 12:54:56,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,21,2018,4
2018-04-29 12:55:12,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 16:55:12,,BLUE,Driver,,9,21,2018,4
2018-04-29 12:57:12,Other,DRS DETECTION AT D1 NOW AUTOMATICALLY ACTIVE,,,,,,22,2018,4
2018-04-29 12:59:36,Other, INCIDENT INVOLVING CAR 11 (PER) UNDER INVESTIGATION - OVERTAKING BEFORE THE SAFETY CAR LINE,,,,,,23,2018,4
2018-04-29 13:00:03,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 17:00:02,,BLUE,Driver,,28,24,2018,4
2018-04-29 13:00:34,Other,5 SECOND TIME PENALTY FOR CAR 11 (PER) - OVERTAKING BEFORE THE SAFETY CAR LINE,,,,,,24,2018,4
2018-04-29 13:04:05,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 17:04:04,,BLUE,Driver,,10,26,2018,4
2018-04-29 13:05:34,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 17:05:33,,BLUE,Driver,,9,27,2018,4
2018-04-29 13:06:02,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 17:06:02,,BLUE,Driver,,28,27,2018,4
2018-04-29 13:06:35,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 17:06:34,,BLUE,Driver,,9,27,2018,4
2018-04-29 13:06:59,Flag,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 17:06:58,,BLUE,Driver,,9,28,2018,4
