Year,RoundNumber,EventName,DriverNumber,Abbreviation,FullName,LapNumber,PitInTime,PitStopDuration,Compound,TyreLife,NextCompound
2018,3,Chinese Grand Prix,9,ERI,ERI,29.0,0 days 00:57:02.968000,,SOFT,28.0,
2018,3,Chinese Grand Prix,8,GRO,GRO,16.0,0 days 00:34:41.572000,,ULTRASOFT,18.0,
2018,3,Chinese Grand Prix,8,GRO,GRO,46.0,0 days 01:27:38.575000,,ULTRASOFT,48.0,
2018,3,Chinese Grand Prix,10,GAS,GAS,20.0,0 days 00:41:49.551000,,MEDIUM,19.0,
2018,3,Chinese Grand Prix,10,GAS,GAS,31.0,0 days 01:01:01.505000,,MEDIUM,30.0,
2018,3,Chinese Grand Prix,16,LEC,LEC,21.0,0 days 00:43:28.793000,,SOFT,20.0,
2018,3,Chinese Grand Prix,28,HAR,HAR,10.0,0 days 00:24:52.688000,,ULTRASOFT,9.0,
2018,3,Chinese Grand Prix,28,HAR,HAR,30.0,0 days 00:59:08.711000,,ULTRASOFT,29.0,
2018,3,Chinese Grand Prix,28,HAR,HAR,51.0,0 days 01:36:19.661000,,SOFT,5.0,
2018,4,Azerbaijan Grand Prix,10,GAS,GAS,12.0,0 days 00:34:49.061000,,ULTRASOFT,11.0,
2018,4,Azerbaijan Grand Prix,10,GAS,GAS,39.0,0 days 01:24:54.717000,,SOFT,27.0,
2018,4,Azerbaijan Grand Prix,11,PER,PER,2.0,0 days 00:13:26.917000,,ULTRASOFT,4.0,
2018,4,Azerbaijan Grand Prix,11,PER,PER,40.0,0 days 01:25:34.563000,,SOFT,38.0,
2018,4,Azerbaijan Grand Prix,14,ALO,ALO,1.0,0 days 00:10:58.372000,,SUPERSOFT,1.0,
2018,4,Azerbaijan Grand Prix,14,ALO,ALO,40.0,0 days 01:26:15.363000,,SOFT,39.0,
2018,4,Azerbaijan Grand Prix,16,LEC,LEC,24.0,0 days 00:56:21.990000,,SUPERSOFT,23.0,
2018,4,Azerbaijan Grand Prix,16,LEC,LEC,40.0,0 days 01:26:00.863000,,SOFT,16.0,
2018,4,Azerbaijan Grand Prix,18,STR,STR,23.0,0 days 00:54:39.170000,,SUPERSOFT,22.0,
2018,4,Azerbaijan Grand Prix,18,STR,STR,40.0,0 days 01:26:03.722000,,SOFT,17.0,
2018,4,Azerbaijan Grand Prix,2,VAN,VAN,17.0,0 days 00:43:59.113000,,SUPERSOFT,16.0,
2018,4,Azerbaijan Grand Prix,2,VAN,VAN,25.0,0 days 00:59:02.815000,,SOFT,8.0,
2018,4,Azerbaijan Grand Prix,2,VAN,VAN,39.0,0 days 01:25:27.595000,,ULTRASOFT,14.0,
2018,4,Azerbaijan Grand Prix,2,VAN,VAN,46.0,0 days 01:41:50.735000,,ULTRASOFT,7.0,
2018,4,Azerbaijan Grand Prix,20,MAG,MAG,1.0,0 days 00:11:12.248000,,SUPERSOFT,1.0,
2018,4,Azerbaijan Grand Prix,20,MAG,MAG,39.0,0 days 01:24:36.731000,,SOFT,38.0,
2018,4,Azerbaijan Grand Prix,28,HAR,HAR,1.0,0 days 00:10:35.436000,,SOFT,1.0,
2018,4,Azerbaijan Grand Prix,28,HAR,HAR,22.0,0 days 00:53:24.533000,,ULTRASOFT,21.0,
2018,4,Azerbaijan Grand Prix,28,HAR,HAR,39.0,0 days 01:25:04.967000,,SUPERSOFT,17.0,
2018,4,Azerbaijan Grand Prix,3,RIC,RIC,37.0,0 days 01:19:09.971000,,SUPERSOFT,40.0,
2018,4,Azerbaijan Grand Prix,33,VER,VER,38.0,0 days 01:20:56.542000,,SUPERSOFT,41.0,
2018,4,Azerbaijan Grand Prix,44,HAM,HAM,22.0,0 days 00:52:08.205000,,SUPERSOFT,26.0,
2018,4,Azerbaijan Grand Prix,44,HAM,HAM,40.0,0 days 01:24:37.761000,,SOFT,18.0,
2018,4,Azerbaijan Grand Prix,5,VET,VET,30.0,0 days 01:06:13.943000,,SUPERSOFT,32.0,
2018,4,Azerbaijan Grand Prix,5,VET,VET,40.0,0 days 01:24:26.324000,,SOFT,10.0,
2018,4,Azerbaijan Grand Prix,55,SAI,SAI,15.0,0 days 00:40:02.414000,,ULTRASOFT,17.0,
2018,4,Azerbaijan Grand Prix,55,SAI,SAI,40.0,0 days 01:25:48.534000,,SOFT,25.0,
2018,4,Azerbaijan Grand Prix,7,RAI,RAI,1.0,0 days 00:10:15.946000,,ULTRASOFT,4.0,
2018,4,Azerbaijan Grand Prix,7,RAI,RAI,40.0,0 days 01:25:22.554000,,SOFT,39.0,
2018,4,Azerbaijan Grand Prix,77,BOT,BOT,40.0,0 days 01:24:08.429000,,SUPERSOFT,43.0,
2018,4,Azerbaijan Grand Prix,8,GRO,GRO,2.0,0 days 00:13:32.540000,,SOFT,1.0,
2018,4,Azerbaijan Grand Prix,8,GRO,GRO,40.0,0 days 01:25:39.705000,,SUPERSOFT,38.0,
2018,4,Azerbaijan Grand Prix,9,ERI,ERI,1.0,0 days 00:11:17.234000,,SUPERSOFT,1.0,
2018,4,Azerbaijan Grand Prix,9,ERI,ERI,18.0,0 days 00:46:19.205000,,SOFT,17.0,
