Year,RoundNumber,EventName,DriverNumber,Abbreviation,FullName,LapNumber,PitInTime,PitStopDuration,Compound,TyreLife,NextCompound
2018,3,Chinese Grand Prix,28,STE,Will Stevens,51.0,0 days 01:36:19.661000,,SOFT,5.0,
2018,4,Azerbaijan Grand Prix,14,ALO,Fernando Alonso,1.0,0 days 00:10:58.372000,,SUPERSOFT,1.0,
2018,4,Azerbaijan Grand Prix,20,MAG,Kevin Magnussen,1.0,0 days 00:11:12.248000,,SUPERSOFT,1.0,
2018,4,Azerbaijan Grand Prix,28,STE,Will Stevens,1.0,0 days 00:10:35.436000,,SOFT,1.0,
2018,4,Azerbaijan Grand Prix,7,RAI,Kimi Raikkonen,1.0,0 days 00:10:15.946000,,ULTRASOFT,4.0,
2018,4,Azerbaijan Grand Prix,9,ERI,Marcus Ericsson,1.0,0 days 00:11:17.234000,,SUPERSOFT,1.0,
2018,4,Azerbaijan Grand Prix,11,PER,Sergio Perez,2.0,0 days 00:13:26.917000,,ULTRASOFT,4.0,
2018,4,Azerbaijan Grand Prix,8,GRO,Romain Grosjean,2.0,0 days 00:13:32.540000,,SOFT,1.0,
2018,4,Azerbaijan Grand Prix,10,KOB,Kamui Kobayashi,12.0,0 days 00:34:49.061000,,ULTRASOFT,11.0,
2018,4,Azerbaijan Grand Prix,55,SAI,Carlos Sainz Jnr,15.0,0 days 00:40:02.414000,,ULTRASOFT,17.0,
2018,4,Azerbaijan Grand Prix,2,VAN,Stoffel Vandoorne,17.0,0 days 00:43:59.113000,,SUPERSOFT,16.0,
2018,4,Azerbaijan Grand Prix,9,ERI,Marcus Ericsson,18.0,0 days 00:46:19.205000,,SOFT,17.0,
2018,4,Azerbaijan Grand Prix,28,STE,Will Stevens,22.0,0 days 00:53:24.533000,,ULTRASOFT,21.0,
2018,4,Azerbaijan Grand Prix,44,HAM,Lewis Hamilton,22.0,0 days 00:52:08.205000,,SUPERSOFT,26.0,
2018,4,Azerbaijan Grand Prix,18,STR,Lance Stroll,23.0,0 days 00:54:39.170000,,SUPERSOFT,22.0,
2018,4,Azerbaijan Grand Prix,16,LEC,Charles Leclerc,24.0,0 days 00:56:21.990000,,SUPERSOFT,23.0,
2018,4,Azerbaijan Grand Prix,2,VAN,Stoffel Vandoorne,25.0,0 days 00:59:02.815000,,SOFT,8.0,
2018,4,Azerbaijan Grand Prix,5,VET,Sebastian Vettel,30.0,0 days 01:06:13.943000,,SUPERSOFT,32.0,
2018,4,Azerbaijan Grand Prix,9,ERI,Marcus Ericsson,36.0,0 days 01:19:51.615000,,ULTRASOFT,18.0,
2018,4,Azerbaijan Grand Prix,3,RIC,Daniel Ricciardo,37.0,0 days 01:19:09.971000,,SUPERSOFT,40.0,
2018,4,Azerbaijan Grand Prix,33,VER,Max Verstappen,38.0,0 days 01:20:56.542000,,SUPERSOFT,41.0,
2018,4,Azerbaijan Grand Prix,10,KOB,Kamui Kobayashi,39.0,0 days 01:24:54.717000,,SOFT,27.0,
2018,4,Azerbaijan Grand Prix,2,VAN,Stoffel Vandoorne,39.0,0 days 01:25:27.595000,,ULTRASOFT,14.0,
2018,4,Azerbaijan Grand Prix,20,MAG,Kevin Magnussen,39.0,0 days 01:24:36.731000,,SOFT,38.0,
2018,4,Azerbaijan Grand Prix,28,STE,Will Stevens,39.0,0 days 01:25:04.967000,,SUPERSOFT,17.0,
2018,4,Azerbaijan Grand Prix,9,ERI,Marcus Ericsson,39.0,0 days 01:26:40.852000,,ULTRASOFT,3.0,
2018,4,Azerbaijan Grand Prix,11,PER,Sergio Perez,40.0,0 days 01:25:34.563000,,SOFT,38.0,
2018,4,Azerbaijan Grand Prix,14,ALO,Fernando Alonso,40.0,0 days 01:26:15.363000,,SOFT,39.0,
2018,4,Azerbaijan Grand Prix,16,LEC,Charles Leclerc,40.0,0 days 01:26:00.863000,,SOFT,16.0,
2018,4,Azerbaijan Grand Prix,18,STR,Lance Stroll,40.0,0 days 01:26:03.722000,,SOFT,17.0,
2018,4,Azerbaijan Grand Prix,44,HAM,Lewis Hamilton,40.0,0 days 01:24:37.761000,,SOFT,18.0,
2018,4,Azerbaijan Grand Prix,5,VET,Sebastian Vettel,40.0,0 days 01:24:26.324000,,SOFT,10.0,
2018,4,Azerbaijan Grand Prix,55,SAI,Carlos Sainz Jnr,40.0,0 days 01:25:48.534000,,SOFT,25.0,
2018,4,Azerbaijan Grand Prix,7,RAI,Kimi Raikkonen,40.0,0 days 01:25:22.554000,,SOFT,39.0,
2018,4,Azerbaijan Grand Prix,77,BOT,Valtteri Bottas,40.0,0 days 01:24:08.429000,,SUPERSOFT,43.0,
2018,4,Azerbaijan Grand Prix,8,GRO,Romain Grosjean,40.0,0 days 01:25:39.705000,,SUPERSOFT,38.0,
2018,4,Azerbaijan Grand Prix,2,VAN,Stoffel Vandoorne,46.0,0 days 01:41:50.735000,,ULTRASOFT,7.0,
2018,5,Spanish Grand Prix,28,STE,Will Stevens,1.0,0 days 00:09:12.755000,,nan,,
2018,5,Spanish Grand Prix,35,SIR,Sergey Sirotkin,1.0,0 days 00:09:17.380000,,nan,,
2018,5,Spanish Grand Prix,5,VET,Sebastian Vettel,17.0,0 days 00:35:22.895000,,SOFT,19.0,
2018,5,Spanish Grand Prix,77,BOT,Valtteri Bottas,19.0,0 days 00:38:06.393000,,SOFT,21.0,
2018,5,Spanish Grand Prix,16,LEC,Charles Leclerc,20.0,0 days 00:40:02.878000,,SOFT,19.0,
2018,5,Spanish Grand Prix,18,STR,Lance Stroll,20.0,0 days 00:40:11.919000,,SOFT,19.0,
2018,5,Spanish Grand Prix,14,ALO,Fernando Alonso,21.0,0 days 00:41:27.923000,,SUPERSOFT,23.0,
2018,5,Spanish Grand Prix,35,SIR,Sergey Sirotkin,24.0,0 days 00:45:56.035000,,MEDIUM,23.0,
2018,5,Spanish Grand Prix,44,HAM,Lewis Hamilton,25.0,0 days 00:46:04.600000,,SOFT,26.0,
2018,5,Spanish Grand Prix,55,SAI,Carlos Sainz Jnr,25.0,0 days 00:46:56.933000,,SOFT,28.0,
2018,5,Spanish Grand Prix,7,RAI,Kimi Raikkonen,25.0,0 days 00:47:11.743000,,SOFT,27.0,
2018,5,Spanish Grand Prix,11,PER,Sergio Perez,26.0,0 days 00:48:38.968000,,SOFT,25.0,
2018,5,Spanish Grand Prix,31,OCO,Esteban Ocon,29.0,0 days 00:52:39.016000,,SOFT,28.0,
2018,5,Spanish Grand Prix,20,MAG,Kevin Magnussen,32.0,0 days 00:56:28.705000,,SOFT,35.0,
2018,5,Spanish Grand Prix,28,STE,Will Stevens,33.0,0 days 00:58:33.682000,,MEDIUM,32.0,
2018,5,Spanish Grand Prix,3,RIC,Daniel Ricciardo,33.0,0 days 00:57:22.271000,,SOFT,35.0,
2018,5,Spanish Grand Prix,2,VAN,Stoffel Vandoorne,34.0,0 days 00:59:46.640000,,SOFT,36.0,
2018,5,Spanish Grand Prix,33,VER,Max Verstappen,34.0,0 days 00:58:35.494000,,SOFT,36.0,
2018,5,Spanish Grand Prix,9,ERI,Marcus Ericsson,35.0,0 days 01:01:13.808000,,MEDIUM,34.0,
2018,5,Spanish Grand Prix,11,PER,Sergio Perez,40.0,0 days 01:08:49.631000,,MEDIUM,14.0,
2018,5,Spanish Grand Prix,35,SIR,Sergey Sirotkin,41.0,0 days 01:11:29.719000,,MEDIUM,19.0,
2018,5,Spanish Grand Prix,5,VET,Sebastian Vettel,41.0,0 days 01:08:45.740000,,MEDIUM,24.0,
2018,5,Spanish Grand Prix,2,VAN,Stoffel Vandoorne,46.0,0 days 01:19:14.629000,,MEDIUM,12.0,
2018,6,Monaco Grand Prix,35,SIR,Sergey Sirotkin,7.0,0 days 00:16:14.097000,,HYPERSOFT,6.0,
2018,6,Monaco Grand Prix,18,STR,Lance Stroll,9.0,0 days 00:19:39.970000,,ULTRASOFT,8.0,
2018,6,Monaco Grand Prix,44,HAM,Lewis Hamilton,12.0,0 days 00:22:19.577000,,HYPERSOFT,14.0,
2018,6,Monaco Grand Prix,28,STE,Will Stevens,13.0,0 days 00:24:14.946000,,HYPERSOFT,12.0,
2018,6,Monaco Grand Prix,16,LEC,Charles Leclerc,14.0,0 days 00:25:33.030000,,ULTRASOFT,13.0,
2018,6,Monaco Grand Prix,8,GRO,Romain Grosjean,15.0,0 days 00:27:05.241000,,ULTRASOFT,14.0,
2018,6,Monaco Grand Prix,5,VET,Sebastian Vettel,16.0,0 days 00:27:21.443000,,HYPERSOFT,18.0,
2018,6,Monaco Grand Prix,55,SAI,Carlos Sainz Jnr,16.0,0 days 00:28:04.698000,,HYPERSOFT,18.0,
2018,6,Monaco Grand Prix,20,MAG,Kevin Magnussen,17.0,0 days 00:29:36.299000,,ULTRASOFT,16.0,
2018,6,Monaco Grand Prix,3,RIC,Daniel Ricciardo,17.0,0 days 00:28:32.716000,,HYPERSOFT,18.0,
2018,6,Monaco Grand Prix,7,RAI,Kimi Raikkonen,17.0,0 days 00:28:47.858000,,HYPERSOFT,19.0,
2018,6,Monaco Grand Prix,77,BOT,Valtteri Bottas,17.0,0 days 00:29:02.234000,,HYPERSOFT,20.0,
2018,6,Monaco Grand Prix,9,ERI,Marcus Ericsson,17.0,0 days 00:29:35.704000,,ULTRASOFT,16.0,
2018,6,Monaco Grand Prix,14,ALO,Fernando Alonso,19.0,0 days 00:31:55.075000,,HYPERSOFT,23.0,
2018,6,Monaco Grand Prix,35,SIR,Sergey Sirotkin,19.0,0 days 00:32:42.205000,,HYPERSOFT,19.0,
2018,6,Monaco Grand Prix,2,VAN,Stoffel Vandoorne,20.0,0 days 00:33:36.154000,,ULTRASOFT,19.0,
2018,6,Monaco Grand Prix,11,PER,Sergio Perez,21.0,0 days 00:34:40.650000,,HYPERSOFT,23.0,
2018,6,Monaco Grand Prix,31,OCO,Esteban Ocon,23.0,0 days 00:37:07.194000,,HYPERSOFT,27.0,
2018,6,Monaco Grand Prix,18,STR,Lance Stroll,34.0,0 days 00:53:56.225000,,SUPERSOFT,26.0,
2018,6,Monaco Grand Prix,10,KOB,Kamui Kobayashi,37.0,0 days 00:55:41.127000,,HYPERSOFT,41.0,
2018,6,Monaco Grand Prix,33,VER,Max Verstappen,47.0,0 days 01:09:06.250000,,ULTRASOFT,46.0,
2018,6,Monaco Grand Prix,35,SIR,Sergey Sirotkin,49.0,0 days 01:12:50.174000,,ULTRASOFT,30.0,
2018,6,Monaco Grand Prix,27,HUL,Nico Hulkenberg,50.0,0 days 01:12:54.146000,,ULTRASOFT,49.0,
2018,6,Monaco Grand Prix,18,STR,Lance Stroll,59.0,0 days 01:27:18.773000,,HYPERSOFT,25.0,
2018,6,Monaco Grand Prix,8,GRO,Romain Grosjean,68.0,0 days 01:37:24.731000,,SUPERSOFT,54.0,
2018,6,Monaco Grand Prix,28,STE,Will Stevens,71.0,0 days 01:41:16.466000,,ULTRASOFT,58.0,
2018,6,Monaco Grand Prix,2,VAN,Stoffel Vandoorne,72.0,0 days 01:42:43.175000,,SUPERSOFT,52.0,
2018,7,Canadian Grand Prix,2,VAN,Stoffel Vandoorne,1.0,0 days 00:08:56.719000,,ULTRASOFT,1.0,
2018,7,Canadian Grand Prix,9,ERI,Marcus Ericsson,1.0,0 days 00:09:00.671000,,ULTRASOFT,1.0,
2018,7,Canadian Grand Prix,11,PER,Sergio Perez,9.0,0 days 00:21:34.811000,,HYPERSOFT,11.0,
2018,7,Canadian Grand Prix,31,OCO,Esteban Ocon,11.0,0 days 00:24:00.155000,,HYPERSOFT,13.0,
2018,7,Canadian Grand Prix,27,HUL,Nico Hulkenberg,13.0,0 days 00:26:32.774000,,HYPERSOFT,15.0,
2018,7,Canadian Grand Prix,55,SAI,Carlos Sainz Jnr,14.0,0 days 00:27:51.456000,,HYPERSOFT,16.0,
