Year,RoundNumber,EventName,EventDate,Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Position,IsAccurate
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,33.0,0 days 00:01:30.192000,2.0,,,0 days 00:00:30.278000,0 days 00:00:24.085000,0 days 00:00:35.829000,274.0,300.0,288.0,290.0,True,SOFT,9.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,34.0,0 days 00:01:30.401000,2.0,,,0 days 00:00:30.302000,0 days 00:00:23.832000,0 days 00:00:36.267000,276.0,299.0,285.0,297.0,False,SOFT,10.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,35.0,0 days 00:01:29.421000,2.0,,,0 days 00:00:29.952000,0 days 00:00:23.864000,0 days 00:00:35.605000,274.0,298.0,288.0,300.0,True,SOFT,11.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,36.0,0 days 00:01:28.718000,2.0,,,0 days 00:00:29.605000,0 days 00:00:23.765000,0 days 00:00:35.348000,274.0,298.0,286.0,300.0,True,SOFT,12.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,37.0,0 days 00:01:29.125000,2.0,,,0 days 00:00:29.820000,0 days 00:00:23.773000,0 days 00:00:35.532000,276.0,297.0,286.0,299.0,False,SOFT,13.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,38.0,0 days 00:01:28.509000,2.0,,,0 days 00:00:29.413000,0 days 00:00:23.746000,0 days 00:00:35.350000,275.0,298.0,287.0,301.0,True,SOFT,14.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,39.0,0 days 00:01:28.353000,2.0,,,0 days 00:00:29.524000,0 days 00:00:23.621000,0 days 00:00:35.208000,277.0,298.0,285.0,302.0,True,SOFT,15.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,40.0,0 days 00:01:28.798000,2.0,,,0 days 00:00:29.641000,0 days 00:00:23.708000,0 days 00:00:35.449000,275.0,296.0,284.0,301.0,False,SOFT,16.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,41.0,0 days 00:01:28.286000,2.0,,,0 days 00:00:29.461000,0 days 00:00:23.687000,0 days 00:00:35.138000,275.0,298.0,286.0,297.0,True,SOFT,17.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,42.0,0 days 00:01:27.998000,2.0,,,0 days 00:00:29.317000,0 days 00:00:23.557000,0 days 00:00:35.124000,276.0,298.0,286.0,300.0,True,SOFT,18.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,43.0,0 days 00:01:28.169000,2.0,,,0 days 00:00:29.301000,0 days 00:00:23.775000,0 days 00:00:35.093000,278.0,298.0,286.0,302.0,False,SOFT,19.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,44.0,0 days 00:01:28.283000,2.0,,,0 days 00:00:29.460000,0 days 00:00:23.645000,0 days 00:00:35.178000,276.0,301.0,287.0,300.0,False,SOFT,20.0,True,1.0,11.0,True
