Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Year,RoundNumber
0 days 02:35:09.805000,RUS,63,0 days 00:01:14.174000,72.0,3.0,,,0 days 00:00:25.140000,0 days 00:00:26.614000,0 days 00:00:22.420000,0 days 02:34:20.812000,0 days 02:34:47.426000,0 days 02:35:09.846000,287.0,270.0,300.0,306.0,False,SOFT,22.0,False,2025,15
0 days 00:57:52.924000,PIA,81,0 days 00:01:18.622000,1.0,1.0,,,,0 days 00:00:26.267000,0 days 00:00:22.725000,,0 days 00:57:30.386000,0 days 00:57:52.991000,278.0,262.0,290.0,208.0,False,MEDIUM,1.0,True,2025,15
0 days 00:59:08.669000,PIA,81,0 days 00:01:15.745000,2.0,1.0,,,0 days 00:00:25.785000,0 days 00:00:27.034000,0 days 00:00:22.926000,0 days 00:58:18.757000,0 days 00:58:45.791000,0 days 00:59:08.717000,280.0,263.0,291.0,279.0,True,MEDIUM,2.0,True,2025,15
0 days 01:00:24.403000,PIA,81,0 days 00:01:15.734000,3.0,1.0,,,0 days 00:00:25.895000,0 days 00:00:27.031000,0 days 00:00:22.808000,0 days 00:59:34.612000,0 days 01:00:01.643000,0 days 01:00:24.451000,278.0,260.0,291.0,288.0,True,MEDIUM,3.0,True,2025,15
0 days 01:01:39.863000,PIA,81,0 days 00:01:15.460000,4.0,1.0,,,0 days 00:00:25.789000,0 days 00:00:26.830000,0 days 00:00:22.841000,0 days 01:00:50.240000,0 days 01:01:17.070000,0 days 01:01:39.911000,281.0,263.0,292.0,284.0,True,MEDIUM,4.0,True,2025,15
0 days 01:02:55.237000,PIA,81,0 days 00:01:15.374000,5.0,1.0,,,0 days 00:00:25.633000,0 days 00:00:27.103000,0 days 00:00:22.638000,0 days 01:02:05.544000,0 days 01:02:32.647000,0 days 01:02:55.285000,281.0,263.0,292.0,287.0,True,MEDIUM,5.0,True,2025,15
0 days 01:04:10.488000,PIA,81,0 days 00:01:15.251000,6.0,1.0,,,0 days 00:00:25.673000,0 days 00:00:27.006000,0 days 00:00:22.572000,0 days 01:03:20.958000,0 days 01:03:47.964000,0 days 01:04:10.536000,281.0,264.0,292.0,287.0,True,MEDIUM,6.0,True,2025,15
0 days 01:05:25.696000,PIA,81,0 days 00:01:15.208000,7.0,1.0,,,0 days 00:00:25.577000,0 days 00:00:26.951000,0 days 00:00:22.680000,0 days 01:04:36.113000,0 days 01:05:03.064000,0 days 01:05:25.744000,281.0,264.0,292.0,284.0,True,MEDIUM,7.0,True,2025,15
0 days 01:06:40.967000,PIA,81,0 days 00:01:15.271000,8.0,1.0,,,0 days 00:00:25.547000,0 days 00:00:27.121000,0 days 00:00:22.603000,0 days 01:05:51.291000,0 days 01:06:18.412000,0 days 01:06:41.015000,281.0,264.0,292.0,288.0,False,MEDIUM,8.0,True,2025,15
0 days 01:07:55.988000,PIA,81,0 days 00:01:15.021000,9.0,1.0,,,0 days 00:00:25.409000,0 days 00:00:27.019000,0 days 00:00:22.593000,0 days 01:07:06.424000,0 days 01:07:33.443000,0 days 01:07:56.036000,282.0,264.0,293.0,291.0,True,MEDIUM,9.0,True,2025,15
0 days 01:09:11.105000,PIA,81,0 days 00:01:15.117000,10.0,1.0,,,0 days 00:00:25.490000,0 days 00:00:27,0 days 00:00:22.627000,0 days 01:08:21.526000,0 days 01:08:48.526000,0 days 01:09:11.153000,282.0,265.0,293.0,292.0,False,MEDIUM,10.0,True,2025,15
0 days 01:10:26.006000,PIA,81,0 days 00:01:14.901000,11.0,1.0,,,0 days 00:00:25.409000,0 days 00:00:26.962000,0 days 00:00:22.530000,0 days 01:09:36.562000,0 days 01:10:03.524000,0 days 01:10:26.054000,282.0,264.0,293.0,293.0,True,MEDIUM,11.0,True,2025,15
0 days 01:11:41.256000,PIA,81,0 days 00:01:15.250000,12.0,1.0,,,0 days 00:00:25.474000,0 days 00:00:27.098000,0 days 00:00:22.678000,0 days 01:10:51.528000,0 days 01:11:18.626000,0 days 01:11:41.304000,282.0,263.0,293.0,292.0,False,MEDIUM,12.0,True,2025,15
0 days 01:12:56.317000,PIA,81,0 days 00:01:15.061000,13.0,1.0,,,0 days 00:00:25.303000,0 days 00:00:27.077000,0 days 00:00:22.681000,0 days 01:12:06.607000,0 days 01:12:33.684000,0 days 01:12:56.365000,282.0,263.0,293.0,297.0,False,MEDIUM,13.0,True,2025,15
0 days 01:14:11.756000,PIA,81,0 days 00:01:15.439000,14.0,1.0,,,0 days 00:00:25.450000,0 days 00:00:27.176000,0 days 00:00:22.813000,0 days 01:13:21.815000,0 days 01:13:48.991000,0 days 01:14:11.804000,282.0,264.0,293.0,294.0,False,MEDIUM,14.0,True,2025,15
0 days 01:15:27.105000,PIA,81,0 days 00:01:15.349000,15.0,1.0,,,0 days 00:00:25.480000,0 days 00:00:27.129000,0 days 00:00:22.740000,0 days 01:14:37.284000,0 days 01:15:04.413000,0 days 01:15:27.153000,282.0,263.0,294.0,295.0,False,MEDIUM,15.0,True,2025,15
0 days 01:16:42.319000,PIA,81,0 days 00:01:15.214000,16.0,1.0,,,0 days 00:00:25.418000,0 days 00:00:27.048000,0 days 00:00:22.748000,0 days 01:15:52.571000,0 days 01:16:19.619000,0 days 01:16:42.367000,282.0,264.0,294.0,296.0,False,MEDIUM,16.0,True,2025,15
0 days 01:17:57.849000,PIA,81,0 days 00:01:15.530000,17.0,1.0,,,0 days 00:00:25.544000,0 days 00:00:27.225000,0 days 00:00:22.761000,0 days 01:17:07.911000,0 days 01:17:35.136000,0 days 01:17:57.897000,283.0,263.0,293.0,293.0,False,MEDIUM,17.0,True,2025,15
0 days 01:19:13.138000,PIA,81,0 days 00:01:15.289000,18.0,1.0,,,0 days 00:00:25.371000,0 days 00:00:27.176000,0 days 00:00:22.742000,0 days 01:18:23.268000,0 days 01:18:50.444000,0 days 01:19:13.186000,283.0,263.0,294.0,297.0,False,MEDIUM,18.0,True,2025,15
