Time,Driver,DriverNumber,LapNumber,Stint,PitInTime,PitOutTime,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Year,RoundNumber
0 days 01:36:27.174000,SAI,55,20.0,1.0,0 days 01:36:19.344000,,MEDIUM,20.0,True,Ferrari,0 days 01:34:30.350000,14,1.0,2023,15
0 days 01:39:35.817000,SAI,55,21.0,2.0,,0 days 01:36:48.875000,HARD,1.0,True,Ferrari,0 days 01:36:27.174000,4,1.0,2023,15
0 days 01:36:37.151000,RUS,63,20.0,1.0,0 days 01:36:29.437000,,MEDIUM,20.0,True,Mercedes,0 days 01:34:36.746000,14,3.0,2023,15
0 days 01:39:38.368000,RUS,63,21.0,2.0,,0 days 01:36:59.406000,HARD,1.0,True,Mercedes,0 days 01:36:37.151000,4,3.0,2023,15
0 days 02:19:29.611000,RUS,63,44.0,2.0,0 days 02:19:21.923000,,HARD,24.0,True,Mercedes,0 days 02:17:04.724000,26,4.0,2023,15
0 days 02:21:41.280000,RUS,63,45.0,3.0,,0 days 02:19:51.970000,MEDIUM,1.0,True,Mercedes,0 days 02:19:29.611000,671,4.0,2023,15
0 days 02:12:55.164000,BOT,77,40.0,1.0,0 days 02:12:47.350000,,HARD,40.0,True,Alfa Romeo,0 days 02:11:05.063000,1,16.0,2023,15
0 days 02:14:55.915000,BOT,77,41.0,2.0,,0 days 02:13:17.850000,MEDIUM,1.0,True,Alfa Romeo,0 days 02:12:55.164000,1,18.0,2023,15
0 days 01:37:06.010000,PIA,81,20.0,1.0,0 days 01:36:58.187000,,MEDIUM,20.0,True,McLaren,0 days 01:34:57.012000,14,14.0,2023,15
0 days 01:39:53.780000,PIA,81,21.0,2.0,,0 days 01:37:27.452000,HARD,1.0,True,McLaren,0 days 01:37:06.010000,4,13.0,2023,15
0 days 01:33:32.043000,VER,1,16.0,1.0,0 days 01:33:30.843000,,MEDIUM,16.0,True,Red Bull Racing,0 days 01:31:50.871000,1,1.0,2023,16
0 days 01:35:30.068000,VER,1,17.0,2.0,,0 days 01:33:55.140000,MEDIUM,1.0,True,Red Bull Racing,0 days 01:33:32.043000,1,5.0,2023,16
0 days 02:08:06.247000,VER,1,37.0,2.0,0 days 02:08:05.056000,,MEDIUM,21.0,True,Red Bull Racing,0 days 02:06:25.983000,1,1.0,2023,16
0 days 02:10:02.325000,VER,1,38.0,3.0,,0 days 02:08:28.728000,HARD,1.0,True,Red Bull Racing,0 days 02:08:06.247000,1,1.0,2023,16
