Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Season,Round,EventName
2021-04-18 12:33:33,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:33:38,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:33:39,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:34:03,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:34:21,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13,,,,,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:34:30,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:34:31,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:34:35,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:34:35,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:34:38,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:34:47,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:34:53,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:35:06,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:35:49,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:36:46,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:39:36,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 12:45:02,Other,RISK OF RAIN FOR F1 RACE IS 80%,,,,,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:00:15,Drs,DRS DISABLED,DISABLED,,,,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:03:16,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:04:32,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:04:37,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:04:46,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,1.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:04:56,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,2.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:10:32,Other,PIT LANE ENTRY CLOSED,,,,,,4.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:14:02,Other,PIT LANE ENTRY OPEN,,,,,,5.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:15:06,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,6.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:15:14,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,6.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:16:44,Flag,TRACK CLEAR,,CLEAR,Track,,,6.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:18:59,Other,LAP 1 TURN 2 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) NOTED ,,,,,,8.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:22:15,Other,LAP 1 - TURN 2 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) - NO INVESTIGATION NECESSARY,,,,,,10.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:22:36,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,10.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:22:41,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,10.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:23:03,Other,LAP 1 - TURN 14 INCIDENT INVOLVING CARS 6 (LAT) AND 9 (MAZ) - NO INVESTIGATION NECESSARY,,,,,,10.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:24:20,Other,TURN 9 INCIDENT INVOLVING CAR 11 (PER) UNDER INVESTIGATION - OVERTAKING WHILE THE SAFETY CAR IS DEPLOYED ,,,,,,11.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:25:23,Other,10 SECOND TIME PENALTY FOR CAR 11 (PER) - OVERTAKING WHILE THE SAFETY CAR IS DEPLOYED ,,,,,,12.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:27:16,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,13.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:27:18,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,13.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:27:46,CarEvent,CAR 55 (SAI) OFF TRACK AND CONTINUED AT TURN 7,,,,,55,14.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:27:47,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:27:47,,BLUE,Driver,,47,14.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:28:24,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:28:23,,BLUE,Driver,,47,14.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:28:34,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:28:33,,BLUE,Driver,,9,14.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:30:24,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:30:24,,BLUE,Driver,,9,15.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:30:35,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:30:34,,BLUE,Driver,,9,16.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:31:10,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:31:09,,BLUE,Driver,,10,16.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:31:41,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:31:41,,BLUE,Driver,,47,16.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:31:51,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:31:51,,BLUE,Driver,,9,16.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:33:56,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:33:56,,BLUE,Driver,,10,18.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:34:18,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:34:18,,BLUE,Driver,,9,18.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:35:02,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:35:02,,BLUE,Driver,,14,19.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:35:39,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:35:38,,BLUE,Driver,,47,19.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:36:41,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:36:41,,BLUE,Driver,,9,20.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:37:28,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:37:27,,BLUE,Driver,,31,20.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:37:49,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:37:49,,BLUE,Driver,,9,21.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:38:09,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:38:08,,BLUE,Driver,,9,21.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:38:19,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:38:18,,BLUE,Driver,,5,21.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:38:40,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:38:39,,BLUE,Driver,,14,21.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:39:21,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:39:21,,BLUE,Driver,,14,22.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:39:39,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:39:39,,BLUE,Driver,,47,22.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:39:42,Other,10 SECOND STOP/GO PENALTY FOR CAR 5 (VET) - WHEELS NOT FITTED AT THE 5 MINUTES SIGNAL,,,,,,22.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:40:03,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:40:03,,BLUE,Driver,,9,22.0,2021,2,Emilia Romagna Grand Prix
